ensemble,forecast_datetime_UTC,air_pressure,TSOIL,SOILW,WEASD,SNOD,ICETK,air_temperature,relative_humidity,TMAX,TMIN,eastward_wind,northward_wind,precipitation_flux,CSNOW,CICEP,CFRZR,CRAIN,LHTFL,SHTFL,PWAT,cloud_area_fraction,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,USWRF,ULWRF,hours_since_forecast_issue,forecast_issue_datetime,wind_speed,wind_direction
11,2022-06-18T15:00:00Z,100208.25,301.9920349121094,0.07200000435113907,0,0,0,28.650018310546898,69.55213928222656,28.650018310546898,24.246636962890648,0.49025389552116394,2.183061361312866,0.9300000071525574,0,0,0,1,131.2487335205078,79.67501068115234,48.79999923706055,1,340,407,59,466.87054443359375,15,2022-06-18T00:00:00Z,2.2374328569436135,77.342973608839
11,2022-06-18T18:00:00Z,100148.6171875,302.5920104980469,0.07200000435113907,0,0,0,33.19161376953127,43.88823699951172,33.26906738281252,24.241601562500023,-1.8449194431304932,2.2052319049835205,1.8000000715255735,0,0,0,1,190.2711639404297,195.44517517089844,47,12,574,417.95269775390625,83,496.08642578125,18,2022-06-18T00:00:00Z,2.875200081107083,129.91619537760008
11,2022-06-18T21:00:00Z,99973.8046875,303.6650695800781,0.07000000029802322,0,0,0,35.27169189453127,36.50359344482422,35.2816101074219,33.34169921875002,-3.5805418491363525,2.341784715652466,0,0,0,0,0,174.14913940429688,451.108154296875,45.60000228881836,76,890,444.4431457519531,114,558.7369384765625,21,2022-06-18T00:00:00Z,4.278344958962551,146.8140771385297
11,2022-06-19T00:00:00Z,99894.1328125,304.1650695800781,0.0690000057220459,0,0,0,34.73897705078127,34.11558151245117,35.48162231445315,33.3189636230469,-3.6951146125793457,1.6770262718200684,0,0,0,0,0,142.9019775390625,333.6535339355469,42,40,704,441,98,547.93023681640625,24,2022-06-18T00:00:00Z,4.057867557778608,155.58909665365775
11,2022-06-19T03:00:00Z,99986.3125,303.89739990234375,0.0690000057220459,0,0,0,29.036309814453148,48.70974349975586,34.52456054687502,29.036309814453148,-4.385895729064941,1.1370116472244265,0,0,0,0,0,15.187952041625977,-31.524951934814453,38.79999923706055,0,50,412,11,481.8108520507813,27,2022-06-18T00:00:00Z,4.530880359505655,165.46643153752075
11,2022-06-19T06:00:00Z,100089.09375,303.34600830078125,0.0690000057220459,0,0,0,26.669213867187523,53.60000228881836,34.45574340820315,26.636376953125023,-2.322446346282959,2.58858871459961,0,0,0,0,0,8.3817138671875,-37.5830078125,36.29999923706055,0,24,402.4051513671875,5,467.394287109375,30,2022-06-18T00:00:00Z,3.477721749179415,131.8980199364433
11,2022-06-19T09:00:00Z,100104.6015625,302.5920104980469,0.0690000057220459,0,0,0,24.2499938964844,62.10188674926758,26.569207763671898,24.269219970703148,0.4945092797279358,2.700934886932373,0,0,0,0,0,1.159692406654358,-35.58855056762695,41.5,0,0,384,0,439.552001953125,33,2022-06-18T00:00:00Z,2.7458311476100334,79.62473171478668
11,2022-06-19T12:00:00Z,100281.9140625,301.89202880859375,0.07000000029802322,0,0,0,23.850000000000023,76.55982971191406,26.5480895996094,23.269219970703148,0.22014158964157104,1.1889795064926147,0.10000000149011612,0,0,0,1,1.3040039539337158,-27.69465446472168,46.20000076293945,0,2,386.12249755859375,0,435.1116943359375,36,2022-06-18T00:00:00Z,1.2091875728559816,79.510377351838
11,2022-06-19T15:00:00Z,100380.1796875,301.89202880859375,0.07400000095367432,0,0,0,29.7499938964844,56.4962272644043,29.7499938964844,24.550012207031273,-0.2759423851966858,0.9445385336875916,0.30000001192092896,0,0,0,1,97.2563018798828,96.69500732421876,45.400001525878906,0,340,403,60,476.1641845703125,39,2022-06-18T00:00:00Z,0.9840209558585333,106.28546906859049
11,2022-06-19T18:00:00Z,100364,302.9920349121094,0.07200000435113907,0,0,0,33.36922607421877,43.22224426269531,33.35000000000002,24.550012207031273,-2.8810229301452637,1.2299511432647705,0.30000001192092896,0,0,0,1,128.67457580566406,251.0395965576172,41.70000076293945,0,590,419,84,516.49493408203125,42,2022-06-18T00:00:00Z,3.13258247119547,156.88164986647377
11,2022-06-19T21:00:00Z,100255.703125,303.89202880859375,0.07100000232458115,0,0,0,34.90117797851565,37.32863998413086,34.9153991699219,33.4796081542969,-2.706721067428589,1.7564257383346558,0,0,0,0,0,157.1680908203125,489.0711059570313,39.400001525878906,0,920,441,116,564.74163818359375,45,2022-06-18T00:00:00Z,3.2266655096471033,147.0199477941507
11,2022-06-20T00:00:00Z,100183.765625,304.5650634765625,0.07000000029802322,0,0,0,34.97890625000002,33.80782699584961,35.2983337402344,33.4796081542969,-2.8244433403015137,1.9486547708511353,0,0,0,0,0,127.9219741821289,359.0331115722656,37.900001525878906,7,722,439,99,553.393310546875,48,2022-06-18T00:00:00Z,3.431433461184183,145.39722611320286
11,2022-06-20T03:00:00Z,100259.6875,304.2423095703125,0.0690000057220459,0,0,0,29.356805419921898,47.5,34.71724853515627,29.3588806152344,-3.360363721847534,1.88186514377594,0,0,0,0,0,12.620203018188477,-25.010290145874023,37.400001525878906,34,46,420,9,483.9568481445313,51,2022-06-18T00:00:00Z,3.851423212588802,150.75037592755868
11,2022-06-20T06:00:00Z,100333.90625,303.83251953125,0.0690000057220459,0,0,0,27.703332519531273,55.563777923583984,34.6892028808594,27.678887939453148,-2.528195858001709,2.782958984375,0,0,0,0,0,7.185082912445068,-28.4388427734375,38.60000228881836,41,23,420,5,472.9568481445313,54,2022-06-18T00:00:00Z,3.7598716740243314,132.253766356655
11,2022-06-20T09:00:00Z,100345.9296875,303.0650634765625,0.0690000057220459,0,0,0,24.868432617187523,62.20614242553711,27.550012207031273,24.868432617187523,-2.790048837661743,3.014902353286743,0,0,0,0,0,1.46990966796875,-34.08039474487305,36.29999923706055,7,0,394,0,446.6359252929687,57,2022-06-18T00:00:00Z,4.107798524318298,132.7817694585425
11,2022-06-20T12:00:00Z,100510.9375,302.3325500488281,0.0690000057220459,0,0,0,23.474755859375023,66.32221984863281,27.582635498046898,23.174768066406273,-1.8289965391159055,2.1196484565734863,0,0,0,0,0,1.5130615234375,-29.82887077331543,36.29999923706055,4,0,389,0,440,60,2022-06-18T00:00:00Z,2.799667465888105,130.79016364644139
11,2022-06-20T15:00:00Z,100570.6796875,302.3650817871094,0.0690000057220459,0,0,0,30.356591796875023,48.5350456237793,30.399530029296898,23.856591796875023,-1.1412328481674194,1.7616088390350342,0,0,0,0,0,56.894142150878906,125.43584442138672,36.400001525878906,0,350,396,62,474,63,2022-06-18T00:00:00Z,2.098970727643118,122.936601493887
