reference_datetime,site_id,datetime,family,variable,observation,crps,logs,mean,median,sd,quantile97.5,quantile02.5,quantile90,quantile10,horizon
2022-07-23T00:00:00Z,8.5,2022-07-31T10:00:00Z,sample,oxygen,3.408,0.9800242599085878,1.9113329362263627,2.167208995132634,2.1395041788766784,0.5161185981983247,3.5891653979797975,1.2953654380952382,3.374807746031745,1.414414814285714,727200
2022-07-23T00:00:00Z,8.5,2022-07-31T12:00:00Z,sample,oxygen,3.023,0.9429281717579198,25.586746358638703,1.89487511017614,1.9047872772893764,0.3274235264648648,2.4184048799253017,1.1599543365079363,2.342400228571428,1.2986838033744037,734400
2022-07-23T00:00:00Z,8.5,2022-07-31T14:00:00Z,sample,oxygen,5.421,3.756479047581782,638.1687507041541,1.4655693168963229,1.467788633333333,0.34995792286772237,2.0707082095238087,0.7433939809523811,2.0516285809523818,0.8348028428571429,741600
2022-07-23T00:00:00Z,8.5,2022-07-31T16:00:00Z,sample,oxygen,3.8319999999999967,2.2112300142067824,107.7634350317386,1.4152154915741855,1.4046504017316006,0.3772151540896658,2.5083275809523804,0.7011395809523808,2.0878989632034624,0.8792097672268906,748800
2022-07-23T00:00:00Z,8.5,2022-07-31T18:00:00Z,sample,oxygen,5.741000000000001,3.9795355267250287,Inf,1.5945076320188774,1.5087289746031751,0.30727924783183375,2.2125646587301575,0.7867859841269839,2.169596011111111,1.2523080870573866,756000
2022-07-23T00:00:00Z,8.5,2022-07-31T20:00:00Z,sample,oxygen,3.008,1.239771067115553,5.677016241906056,1.539631601571547,1.4128838031746034,0.41957119584350416,2.7348565619047625,0.7931945079365079,2.3116903222222223,0.9123912761904756,763200
2022-07-23T00:00:00Z,8.5,2022-07-31T22:00:00Z,sample,oxygen,1.91,0.2752873522069097,0.7317687629992303,1.5315007759387567,1.4072165904761904,0.443285266723598,2.9523545809523823,0.7654931142857141,2.195223904761903,0.8888433888888885,770400
2022-07-23T00:00:00Z,8.5,2022-08-01T02:00:00Z,sample,oxygen,0.6709999999999995,0.8438328404734545,2.095890843027545,1.957849083580366,1.7035712190476184,0.7871493568134376,3.652092406349204,0.8288252666666663,3.294186919047618,0.9049623291316524,784800
2022-07-23T00:00:00Z,8.5,2022-08-01T04:00:00Z,sample,oxygen,1.4329999999998198,0.6626191368994889,1.4241527249734147,2.459728458324639,3.0057912757575735,1.0218974715588207,3.8529826877344866,0.5941465476190474,3.68953965036075,0.7476959619047614,792000
2022-07-23T00:00:00Z,8.5,2022-08-01T08:00:00Z,sample,oxygen,2.659,0.3106550818183055,1.221161138826713,2.202023029637008,2.111887434920635,0.7472852646602861,3.35772941226551,0.7247945079365077,3.213558926307027,0.893823571428571,806400
2022-07-23T00:00:00Z,8.5,2022-08-01T10:00:00Z,sample,oxygen,5.055,2.7220846488664847,119.33557678706896,2.0675043702920517,2.0260185158175155,0.4874561726091563,3.275137457142856,1.3410101206349212,3.153874028571427,1.3531842253968251,813600
2022-07-23T00:00:00Z,8.5,2022-08-01T12:00:00Z,sample,oxygen,6.388,4.36221564975069,Inf,1.8488853859371281,1.8323685761904764,0.31278933088171257,2.550006620146521,1.2112048031746034,2.4495071142857148,1.3037347460317457,820800
2022-07-23T00:00:00Z,8.5,2022-08-01T14:00:00Z,sample,oxygen,6.257,4.552566524561353,Inf,1.509127440105161,1.458329394211017,0.3448998674064496,2.216162358441559,0.9305518751633988,2.197486001298702,1.049987170401494,828000
2022-07-23T00:00:00Z,8.5,2022-08-01T16:00:00Z,sample,oxygen,6.3199999999999985,4.73498602921249,Inf,1.3951800539257917,1.3562492285714287,0.345876055008376,2.3454574904761905,0.7577034190476191,2.0031776262071257,0.852337514285714,835200
2022-07-23T00:00:00Z,8.5,2022-08-01T18:00:00Z,sample,oxygen,0.693,0.7807748442913547,10.323950744413805,1.700152956104111,1.5743190714285715,0.4344731959826734,2.94587416984127,1.1658151174603173,2.883241504761904,1.1855561222222215,842400
